"","State","2017","2018","2019"
"1","Johor",3.4,3,2.7
"2","Kedah",2.8,2.9,2.8
"3","Kelantan",3.6,4,4
"4","Malaysia",3.4,3.3,3.3
"5","Melaka",1,1.1,1.1
"6","Negeri Sembilan",2.8,3,3.1
"7","Pahang",2.9,2.6,2.9
"8","Perak",3.7,3.3,3.4
"9","Perlis",3.5,3.4,3.3
"10","Pulau Pinang",2.1,2.2,2
"11","Sabah",5.6,5.8,5.8
"12","Sarawak",3,3.2,3.1
"13","Selangor",2.8,2.8,2.9
"14","Terengganu",4.5,4.8,3.5
"15","W.P Labuan",8.5,7.1,6.9
"16","W.P Putrajaya",1.5,1.3,1.2
"17","W.P. Kuala Lumpur",3.1,2.4,2.6
